latitude,longitude,employee_count,pickup_point,bus_number
39.91721136666667,32.803599633333334,3.0,0.0,31
39.91721136666667,32.803599633333334,3.0,0.0,31
39.91721136666667,32.803599633333334,3.0,0.0,31
39.8876867,32.794034999999994,2.0,1.0,31
39.8876867,32.794034999999994,2.0,1.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.992679575,32.565393,8.0,2.0,31
39.966204000000005,32.6572759,4.0,3.0,31
39.966204000000005,32.6572759,4.0,3.0,31
39.966204000000005,32.6572759,4.0,3.0,31
39.966204000000005,32.6572759,4.0,3.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.00745261666667,32.84667843333333,6.0,4.0,31
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
40.013261925,32.514975712500004,16.0,5.0,3
39.97800433333333,32.815264,3.0,6.0,31
39.97800433333333,32.815264,3.0,6.0,31
39.97800433333333,32.815264,3.0,6.0,31
39.99372625384616,32.58231316153846,13.0,7.0,3
39.99372625384616,32.58231316153846,13.0,7.0,3
39.99372625384616,32.58231316153846,13.0,7.0,3
39.99372625384616,32.58231316153846,13.0,7.0,3
39.99372625384616,32.58231316153846,13.0,7.0,3
39.99372625384616,32.58231316153846,13.0,7.0,3
