id,latitude,longitude
Factory,39.976736,32.562732
10109441,39.9710743,32.5928911
10109489,39.9893272,32.5089856
10109529,39.969756,32.5895875
10109843,39.9560525,32.7096666
10109947,39.9511592,32.6021582
10110403,40.0066653,32.5214487
10110626,39.9893272,32.5089856
10110697,39.9781204,32.8951958
10110848,39.9571838,32.5927712
10111138,39.9757457,32.6107881
10111214,39.983716,32.84368
10111530,39.9799213,32.8428015
10111869,39.9898683,32.848795
10111994,39.8544476,32.424074
10112460,39.9603589,32.742676
10208110,39.95036899999999,32.5847122
10208170,39.9513042,32.6079616
10208774,39.8931675,32.7051441
10208859,39.995093,32.8789727
10220018,39.8970734,32.691308
10220100,39.945644,32.651316
10221175,39.9566469,32.564087
10221316,39.9820027,32.7322439
10313293,39.9928101,32.8664234
10313435,39.940028,32.613384
10314072,39.98484,32.613089
10314144,40.0006145,32.5283159
10315032,39.97282630000001,32.5751001
10315618,39.8786266,32.6764467
10321601,39.9889262,32.8634441
10322313,39.975372,32.829447
10430440,39.944826,32.5912661
10430956,40.0124163,32.5354262
10431335,39.9493109,32.5918845
10432242,39.9966092,32.6506446
10432344,39.9903073,32.8032156
10600068,39.9381175,32.6127011
10600071,39.9395625,32.5942241
10600073,39.9948516,32.6442256
10600083,39.9784129,32.6010689
10600107,39.9956708,32.5143028
10600114,39.9567532,32.5691188
10600270,39.9602168,32.5754383
10600274,39.96270940000001,32.5738825
10600312,39.9757457,32.6107881
10600413,39.88173,32.67303
10600452,39.9470669,32.6526134
10600489,39.9321525,32.6116598
10600496,39.968624,32.5837627
10600509,39.965323,32.602483
10600515,39.9478338,32.6460306
10600526,39.98956099999999,32.573737
10600537,39.968826,32.5855678
10600549,40.0064528,32.5296991
10600551,39.9382395,32.6528609
10600558,39.8650916,32.6475256
10600586,39.8544476,32.424074
10600623,39.955369,32.585911
10600638,39.9689387,32.5840658
10600659,39.9998245,32.5296615
10600661,39.9588076,32.5584854
10600666,40.0099325,32.5011463
10600669,39.9603049,32.7292568
10600670,39.9835907,32.6142804
10600686,39.9415562,32.6460402
10600690,39.9543362,32.6141971
10600705,39.9498166,32.5678319
10600708,39.9532674,32.5980683
10600713,39.9321525,32.6116598
10600739,39.9745031,32.5780411
10600741,39.95138010000001,32.6129797
10600754,39.9579625,32.5727715
10600760,39.951319,32.574571
10600766,40.0193908,32.530486
10600767,39.970754,32.586766
10600776,39.8139783,32.6560016
10600780,39.880435,32.798862
10600786,39.9321525,32.6116598
10600795,39.9832323,32.5796924
10600805,39.9603049,32.7292568
10600809,39.9338638,32.650495
10600818,40.0037956,32.8737707
10600823,39.94460060000001,32.5853469
10600835,39.8544476,32.424074
10600839,39.9646866,32.5885054
10600845,39.9374207,32.6191139
10600851,39.9771278,32.8313649
10600863,39.9639657,32.5965505
10600864,39.947115,32.5633904
10600873,39.933483,32.590671
10600898,39.974807,32.6098556
10600902,39.9575834,32.8579616
10600915,39.9757457,32.6107881
10600921,39.9734649,32.6569286
10600926,39.8544476,32.424074
10600927,39.8544476,32.424074
10600928,39.971756,32.577353
10600937,39.9333635,32.8597419
10600944,40.0016266,32.6309063
10600948,39.9934663,32.8728712
10600950,39.971252,32.583827
10600952,39.9452152,32.5767201
10600962,39.9606269,32.5756219
10600963,39.9575098,32.5941972
10600964,39.976464,32.629898
10600968,39.9457152,32.649141
10600972,39.9805477,32.7957543
10600973,39.9924265,32.5855518
10600977,39.957759,32.594039
10600978,39.9757457,32.6107881
10600983,39.9893272,32.5089856
10600985,39.9757457,32.6107881
10600990,39.9671348,32.6010342
10600993,39.9541274,32.5874338
10600995,40.00648,32.6478783
10601005,40.0044718,32.5337412
10601016,39.9523716,32.5738236
10601023,39.950729,32.574854
10601028,40.0142057,32.5258491
10601029,39.9293142,32.6192672
10601033,39.959301,32.597642
10601036,39.9545377,32.573543
10601044,39.98649,32.5819798
10601047,39.8509856,32.8564017
10601052,39.8352299,32.5360464
10601053,39.9912776,32.5738147
10601054,39.8404768,32.5347516
10601068,39.99549469999999,32.5649387
10601076,39.8544476,32.424074
10601084,39.9911542,32.6611828
10601086,39.9445208,32.5961249
10601087,39.9888329,32.5824157
10601088,39.995803,32.585078
10601097,39.8544476,32.424074
10601103,39.8752019,32.7084065
10601107,39.9400696,32.6459798
10601115,39.9508398,32.6631968
10601122,39.9670865,32.5980683
10601123,39.9651807,32.7875853
10601133,39.9786434,32.6150195
10601136,39.8544476,32.424074
10601137,39.9552746,32.5769091
10601140,39.9664559,32.5943923
10601141,39.99663,32.595565
10601160,39.976909,32.600673
10601162,39.982513,32.583628
10601167,39.9633423,32.6136146
10601218,39.954296,32.5748437
10601233,39.9711821,32.5758142
10601266,39.9519131,32.5983982
10601291,39.9529301,32.5879291
10601306,39.9457995,32.5729052
10601312,39.9900925,32.5717625
10601313,39.9554698,32.6044957
10601314,39.9331183,32.5929946
10601327,39.9531087,32.5839333
