bus_number,employee_count
0,39.0
1,13.0
2,31.0
3,24.0
4,65.0
5,26.0
6,13.0
7,33.0
8,21.0
9,36.0
10,55.0
11,42.0
12,13.0
13,22.0
14,30.0
15,24.0
16,11.0
17,31.0
18,34.0
19,26.0
20,24.0
21,28.0
22,37.0
23,30.0
24,28.0
25,33.0
26,45.0
27,40.0
28,43.0
29,33.0
30,23.0
31,24.0
32,44.0
33,44.0
34,28.0
35,21.0
36,23.0
37,38.0
38,38.0
39,27.0
40,23.0
41,30.0
42,24.0
43,24.0
44,17.0
45,30.0
46,26.0
47,30.0
48,28.0
49,22.0
50,11.0
51,43.0
52,32.0
