latitude,longitude,bus_number
39.976736,32.562732,47
39.9773142,32.56137335,47
39.9893272,32.50898560000001,47
39.96920623846154,32.58810056923077,47
39.968236808333344,32.59628807500001,47
39.9781204,32.8951958,47
39.95267153333332,32.59919049166667,47
39.95599149655172,32.59417533448276,47
39.976736,32.562732,47
39.976736,32.562732,3
39.95579705,32.7085703,3
40.0051373,32.51864033333333,3
39.976736,32.562732,3
39.976736,32.562732,23
39.97555719,32.6109714,23
39.95195105833334,32.61052496666667,23
39.95187428333334,32.58401081666667,23
39.85444759999997,32.42407400000001,23
39.8970734,32.691308,23
39.8921541,32.7016155,23
39.9888112,32.84940705,23
39.997925825,32.87568705,23
39.9603589,32.742676,23
39.94397538,32.65210927333334,23
39.976736,32.562732,23
39.976736,32.562732,16
39.98236265714286,32.84518421428572,16
39.976736,32.562732,16
39.976736,32.562732,45
39.9548671125,32.56263095416667,45
39.971939124,32.575494332000005,45
39.976736,32.562732,45
39.976736,32.562732,17
40.000424933333335,32.52719588333333,17
39.984557466666665,32.6134337,17
39.94128713333333,32.61553481666667,17
39.8801783,32.67473835,17
39.9782679,32.7299384,17
39.99389486666667,32.86989726666666,17
39.989998475,32.861102275,17
39.97503606666667,32.83201913333333,17
39.976736,32.562732,17
39.976736,32.562732,6
39.94585164166666,32.59426478333333,6
39.991934066666666,32.804720466666666,6
39.9931643,32.6429933,6
39.976736,32.562732,6
39.976736,32.562732,14
39.99703735,32.51718746666666,14
40.013207342857136,32.534712657142855,14
39.97938499999999,32.60306326,14
39.99673315,32.6518223,14
39.936264725,32.613588225,14
39.93940383636363,32.593770354545455,14
39.95047803333334,32.590659966666664,14
39.95944426666667,32.574970604166666,14
39.976736,32.562732,14
39.976736,32.562732,52
39.96737196666666,32.58398408888889,52
39.96372655,32.5735374375,52
39.95524408666667,32.56902076000001,52
39.93159791818182,32.611344836363635,52
39.94744739090909,32.65460207272727,52
39.94516983,32.646743,52
39.976736,32.562732,52
39.976736,32.562732,27
39.96624706153846,32.60051030769231,27
39.9394262625,32.6539887125,27
39.976736,32.562732,27
39.976736,32.562732,24
39.98912468571429,32.57345106428571,24
40.00496268888889,32.53116658888889,24
40.0099325,32.5011463,24
39.95794663333333,32.556165433333334,24
39.95543834666667,32.58651461333333,24
39.96188608333333,32.726845383333334,24
39.976736,32.562732,24
39.976736,32.562732,19
39.8640858,32.6499307,19
39.976736,32.562732,19
39.976736,32.562732,32
39.941841415384616,32.644483715384624,32
39.950336452631575,32.57493505263158,32
39.976736,32.562732,32
39.976736,32.562732,25
40.01982444285714,32.52761785714286,25
39.98337614999999,32.57903435714286,25
39.97114950909091,32.58359701818182,25
39.954608175,32.61427448333333,25
39.95062209999999,32.5699486,25
39.8139783,32.6560016,25
39.88368405,32.798575549999995,25
40.00370818,32.87563014,25
39.976736,32.562732,25
39.976736,32.562732,42
39.93235344285714,32.6495986,42
39.976736,32.562732,42
39.976736,32.562732,1
39.94544285882355,32.58588997058823,1
39.96496201111111,32.5887873,1
39.976736,32.562732,1
39.976736,32.562732,28
39.99244723076924,32.58304352307692,28
39.96529553076924,32.59347034615384,28
39.94583434444445,32.566675944444434,28
39.93392911666667,32.59329371666667,28
39.93842635,32.6207694,28
39.9723801,32.655280366666666,28
39.932722175,32.8588101,28
39.9575834,32.8579616,28
39.9804743,32.79751745,28
40.0059462,32.64552453333334,28
39.976736,32.562732,28
39.976736,32.562732,35
39.999404266666666,32.63128686666666,35
39.975999425,32.631469075,35
39.93131681666667,32.61996201666667,35
39.976736,32.562732,35
39.976736,32.562732,20
39.944681825,32.576760766666666,20
39.976736,32.562732,20
39.976736,32.562732,13
39.99232462222222,32.56331205555556,13
40.015347187500005,32.526600475,13
39.99633815,32.582466475000004,13
39.9875836,32.58185843333333,13
39.9888858,32.65741979999999,13
39.958654645454544,32.598737254545455,13
39.95456066428572,32.573368228571425,13
39.83785335,32.535399,13
39.85176455,32.85829795,13
39.8752019,32.7084065,13
39.976736,32.562732,13
39.976736,32.562732,43
39.9518037625,32.664960975,43
39.9795935,32.61296525,43
39.976736,32.562732,43
39.976736,32.562732,51
39.99851714,32.59689628,51
39.9702661,32.63615715,51
39.96570485,32.789302150000005,51
39.94557703333333,32.6318813,51
39.9633423,32.6136146,51
39.95537165,32.604184700000005,51
39.95126228181818,32.56508008181818,51
39.95495738571429,32.57889674285714,51
39.95968834642857,32.59115514285714,51
39.976736,32.562732,51
39.976736,32.562732,34
39.98137786,32.6414407,34
40.02273260769231,32.52247526153846,34
39.976736,32.562732,34
39.976736,32.562732,4
39.95924881818182,32.56618978636363,4
40.0105421,32.51274293333333,4
40.01877629285714,32.53202920714286,4
39.98874203333333,32.587483516666666,4
39.973761,32.604385,4
39.991254700000006,32.61772306666666,4
39.97481528,32.644160680000006,4
39.99918,32.8920229,4
39.9512065375,32.6421758875,4
39.93204664,32.63577612,4
39.976736,32.562732,4
39.976736,32.562732,40
39.99335296666666,32.556245,40
40.0175307,32.53893105,40
39.97901426666666,32.59219686666666,40
39.976736,32.562732,40
39.976736,32.562732,38
39.9933038,32.575261600000005,38
39.9727601,32.616999675,38
39.94897649090908,32.62799852727273,38
39.9447982,32.8912256,38
39.93494526,32.65695212,38
39.976736,32.562732,38
39.976736,32.562732,12
39.97050725,32.5568121,12
39.97028523,32.57056719,12
39.95271181538462,32.6314313076923,12
39.9672597,32.6438754,12
39.9668566,32.65093055,12
39.957323,32.8750852,12
39.98745808,32.62709076,12
39.99861412499999,32.602426162499995,12
39.99358804166666,32.59440371666667,12
39.976736,32.562732,12
39.976736,32.562732,22
40.003933175,32.5239648,22
39.9853024375,32.563615625,22
39.9878509,32.598078380000004,22
39.94992338461539,32.63407273846154,22
39.94381903333333,32.603977566666664,22
39.8346129,32.6051351,22
39.88024660000001,32.69736880000001,22
39.9104081,32.7637933,22
40.008283383333335,32.84586936666667,22
39.8570265,32.8314103,22
39.976736,32.562732,22
39.976736,32.562732,2
40.00620223333333,32.50787173333333,2
40.00938478333334,32.52515066666666,2
39.94855549,32.619455310000006,2
39.939395350000005,32.63830245,2
39.95023605555556,32.647820833333334,2
39.94077795,32.66345345,2
39.9708711,32.8962847,2
39.9747719,32.6921729,2
40.002028125,32.611548175,2
39.999400566666665,32.61795453333333,2
39.976736,32.562732,2
39.976736,32.562732,18
39.99517222,32.52337792,18
39.976736,32.562732,18
39.976736,32.562732,44
39.95956176666666,32.582004866666665,44
39.98504274,32.56922076,44
40.01256501666667,32.5167982,44
40.0096212,32.6230276,44
39.9962033,32.86268135,44
39.9464777,32.66649764,44
39.94589556666666,32.60990183333334,44
39.9418175,32.56960162,44
39.976736,32.562732,44
39.976736,32.562732,30
39.93310043333333,32.89302596666666,30
39.9635309,32.57800412,30
39.976736,32.562732,30
39.976736,32.562732,39
40.01088726666667,32.53006376666667,39
39.9426598,32.5875379,39
39.9013082,32.6262258,39
39.94612580909091,32.636688945454544,39
39.9633488,32.6988147,39
39.9672677,32.7843182,39
39.9753883,32.806539,39
39.9287212,32.8766602,39
39.99712415,32.8137688,39
39.98119875,32.75571655,39
39.9920081,32.73174,39
39.9931767,32.61144186666667,39
39.976736,32.562732,39
39.976736,32.562732,8
39.92479055,32.89992175,8
39.976736,32.562732,8
39.976736,32.562732,48
40.0029586,32.60019455,48
40.0103366,32.6616518,48
39.962490075,32.602767175,48
39.933426075,32.64070205,48
39.85932255,32.64264395,48
39.96609765,32.8031725,48
39.8778105,32.8211999,48
39.9122078,32.8988819,48
39.94229735,32.89847605,48
