pickup_point,latitude,longitude,employee_count
0,39.977314199999995,32.56137335,9
1,39.968236808333344,32.59628807500001,12
2,39.9893272,32.50898560000001,4
3,39.96920623846154,32.58810056923077,3
4,39.95579705,32.7085703,24
5,39.95267153333332,32.59919049166667,2
6,40.0051373,32.51864033333333,24
7,39.9781204,32.8951958,4
8,39.95599149655172,32.594175334482756,5
9,39.97555719,32.6109714,2
10,39.98236265714286,32.845184214285716,28
11,39.9888112,32.849407049999996,3
12,39.85444759999997,32.42407400000001,3
13,39.9603589,32.742676,8
14,39.95187428333334,32.58401081666667,7
15,39.95195105833334,32.61052496666667,2
16,39.8921541,32.7016155,2
17,39.997925824999996,32.875687049999996,6
18,39.8970734,32.691308,3
19,39.94397538,32.65210927333334,4
20,39.954867112500004,32.56263095416667,15
21,39.9782679,32.7299384,2
22,39.99389486666667,32.86989726666666,2
23,39.94128713333333,32.61553481666667,5
24,39.984557466666665,32.6134337,3
25,40.000424933333335,32.52719588333333,9
26,39.971939123999995,32.575494332000005,12
27,39.8801783,32.67473835,4
28,39.989998475,32.861102275,4
29,39.97503606666667,32.83201913333333,3
30,39.945851641666664,32.59426478333333,11
31,40.013207342857136,32.534712657142855,3
32,39.95047803333334,32.590659966666664,2
33,39.99673315,32.6518223,3
34,39.991934066666666,32.804720466666666,18
35,39.936264725,32.613588225,4
36,39.93940383636363,32.593770354545455,5
37,39.993164300000004,32.6429933,13
38,39.97938499999999,32.60306326,3
39,39.99703735,32.51718746666666,4
40,39.95524408666667,32.56902076000001,12
41,39.95944426666667,32.574970604166666,2
42,39.96372655,32.5735374375,2
43,39.94744739090909,32.65460207272727,7
44,39.93159791818182,32.611344836363635,6
45,39.96737196666666,32.58398408888889,5
46,39.96624706153846,32.60051030769231,22
47,39.94516983,32.646743,8
48,39.98912468571429,32.57345106428571,2
49,40.00496268888889,32.53116658888889,2
50,39.9394262625,32.6539887125,18
51,39.8640858,32.6499307,29
52,39.95543834666667,32.58651461333333,5
53,39.95794663333333,32.556165433333334,4
54,40.0099325,32.5011463,2
55,39.96188608333333,32.726845383333334,4
56,39.941841415384616,32.644483715384624,17
57,39.954608175000004,32.61427448333333,9
58,39.95062209999999,32.5699486,6
59,39.950336452631575,32.57493505263158,24
60,40.01982444285714,32.52761785714286,3
61,39.97114950909091,32.58359701818182,3
62,39.8139783,32.6560016,6
63,39.88368405,32.798575549999995,11
64,39.98337614999999,32.57903435714286,3
65,39.93235344285714,32.6495986,24
66,40.003708180000004,32.87563014,2
67,39.94544285882355,32.58588997058823,18
68,39.96496201111111,32.5887873,11
69,39.93842635,32.6207694,3
70,39.96529553076924,32.59347034615384,2
71,39.94583434444445,32.566675944444434,2
72,39.93392911666667,32.59329371666667,9
73,39.9575834,32.8579616,5
74,39.9723801,32.655280366666666,3
75,39.932722174999995,32.8588101,4
76,39.999404266666666,32.63128686666666,14
77,39.944681825,32.576760766666666,27
78,39.975999425,32.631469075,13
79,39.9804743,32.79751745,6
80,39.99244723076924,32.58304352307692,2
81,40.005946200000004,32.64552453333334,2
