pickup_point,latitude,longitude,employee_count,bus_number
0.0,39.96957353333333,32.59296700666666,15.0,10
1.0,39.9931198,32.56451815,6.0,47
2.0,39.9782679,32.7299384,3.0,47
3.0,39.966134525,32.65722795,4.0,47
4.0,39.944681825,32.576760766666666,12.0,10
5.0,40.0132222625,32.5149451,16.0,10
6.0,40.00937950833333,32.515922700000004,12.0,10
7.0,39.954148933333336,32.7284086,3.0,47
8.0,39.97800433333333,32.815264,3.0,47
9.0,40.00478494583333,32.51903100833333,24.0,20
10.0,39.98914713333334,32.88525426666667,3.0,47
11.0,39.9394262625,32.6539887125,8.0,47
12.0,39.95705768666666,32.568910890000005,30.0,41
13.0,39.947882876470594,32.64825172352941,17.0,44
14.0,39.91625415,32.9377748,2.0,27
15.0,39.88982654,32.83670184,5.0,27
16.0,39.96226885,32.727019750000004,6.0,27
17.0,39.997384257142855,32.51660621428572,7.0,27
18.0,39.98396176,32.8460587,5.0,27
19.0,39.964403,32.941173666666664,3.0,27
20.0,40.0059742,32.6458246,3.0,27
21.0,39.97387555,32.95285705,2.0,27
22.0,39.98584786,32.60965928,5.0,27
23.0,39.88492655,32.81935825,2.0,27
24.0,39.95794663333333,32.556165433333334,15.0,38
25.0,39.99435963,32.58143199,10.0,38
26.0,40.01910290526316,32.53081406315789,19.0,0
27.0,39.94184853076923,32.59239126923077,13.0,38
28.0,39.97150437,32.576907295,20.0,0
29.0,39.9122078,32.8988819,3.0,11
30.0,40.01625414,32.86590897999999,5.0,11
31.0,39.8921541,32.7016155,2.0,11
32.0,39.96017173636364,32.564993563636364,11.0,11
33.0,39.93494526,32.65695212,5.0,11
34.0,39.98505368,32.56506308,10.0,11
35.0,39.95754495,32.793195600000004,2.0,11
36.0,39.92479055,32.89992175,4.0,11
37.0,39.9726513,32.655692425000005,4.0,26
38.0,39.939457825000005,32.63867475000001,4.0,26
39.0,39.99870027777777,32.6016076,9.0,26
40.0,39.9461727,32.66599373333333,6.0,26
41.0,40.00205723333334,32.84286123333334,3.0,26
42.0,39.93110772857143,32.620158957142856,7.0,26
